,customer_id,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,credit_limit,total_revolving_bal,active_customer
232,717906783,41,M,5,2,single,4,blue,29,5,5207.0,1748,True
233,719437908,44,M,3,4,divorced,3,blue,36,6,17965.0,1644,True
234,769433508,43,M,1,3,single,2,blue,37,6,2733.0,1819,True
235,790096533,55,M,2,3,married,2,blue,48,4,8863.0,1301,True
236,720997383,52,M,1,0,married,3,blue,36,2,1857.0,1833,False
238,709930758,41,M,2,0,married,1,blue,30,5,11107.0,1222,True
241,710741208,39,M,2,1,single,3,blue,36,4,5269.0,1475,True
242,821797008,49,M,5,3,married,1,blue,45,2,1438.3,0,False
243,708874533,45,F,2,3,married,0,blue,36,1,3387.0,0,False
244,715341858,54,M,2,2,married,3,blue,46,6,1982.0,1289,True
245,793636308,49,M,3,0,single,3,blue,43,2,4645.0,1650,True
247,712125258,46,M,4,1,married,4,blue,30,3,2442.0,0,False
248,709703433,47,M,3,2,married,2,blue,38,4,21304.0,1532,True
249,721022433,44,M,2,5,single,2,blue,36,5,7577.0,2480,True
250,710103558,50,M,3,4,single,4,blue,31,4,3234.0,1486,True
251,715952883,73,M,0,1,married,1,blue,36,5,4469.0,1125,True
253,772390908,59,M,0,1,single,1,blue,48,2,3616.0,1054,False
254,787348608,70,M,0,1,married,0,blue,56,3,3252.0,1495,True
255,709485033,55,F,2,1,married,0,blue,36,4,2358.0,1152,True
257,799471833,45,M,1,0,single,4,blue,39,4,3133.0,1510,True
258,714187533,45,F,2,0,single,1,blue,35,2,3540.0,849,True
259,779656908,40,M,1,2,married,1,blue,23,6,6990.0,1378,True
261,778867533,59,F,0,4,married,1,blue,40,1,1438.3,0,False
264,789483333,41,M,2,0,married,1,blue,32,5,5214.0,795,True
265,809855808,51,F,2,2,married,0,blue,46,5,5207.0,1650,True
268,771809733,64,F,0,1,married,1,blue,53,1,3353.0,0,False
269,719942883,54,M,5,2,married,2,blue,38,3,2290.0,1434,True
271,717806133,40,M,2,0,divorced,2,blue,29,5,23603.0,0,True
272,720615708,57,M,0,0,married,1,blue,45,6,2601.0,0,True
273,714511758,45,M,4,2,single,3,blue,40,4,6363.0,1029,True
274,715050408,41,M,3,1,single,3,blue,36,4,8029.0,1576,True
275,721132233,42,F,4,0,married,0,blue,31,2,2410.0,1769,True
276,719211558,45,M,2,2,single,2,blue,36,1,3401.0,0,False
277,712069008,42,F,4,0,married,0,blue,23,4,2260.0,1007,True
278,715996983,47,M,4,0,divorced,3,blue,30,5,17682.0,2481,True
279,773466258,48,F,4,1,married,1,blue,42,3,4206.0,1100,True
280,798983508,43,M,1,2,single,3,silver,37,4,34516.0,1440,True
282,716451183,54,F,1,0,married,1,blue,44,5,5556.0,1711,True
284,715085733,61,M,0,2,married,1,blue,52,3,2939.0,1999,True
285,788977833,61,M,0,0,married,3,blue,48,2,5362.0,1274,True
286,720272958,48,M,2,1,married,4,blue,36,3,27126.0,0,False
287,708421833,45,F,4,2,single,0,blue,36,6,3342.0,2517,True
290,715120608,44,M,3,2,single,2,blue,37,2,14546.0,1703,True
292,779078733,55,M,2,5,married,2,blue,36,3,16427.0,1682,True
294,720250158,45,M,2,3,single,2,blue,33,6,23218.0,1814,True
295,716458983,60,M,0,1,married,1,blue,36,5,3281.0,837,True
296,713747733,55,M,2,1,married,1,blue,47,5,3096.0,2217,True
297,712270158,62,F,0,1,married,1,blue,52,5,2052.0,1250,True
299,754897008,46,M,3,1,single,1,blue,39,2,9432.0,1418,True
300,819700533,50,M,0,1,single,4,silver,45,5,14938.0,2303,True
301,712890408,45,M,2,0,married,2,blue,36,5,2221.0,1343,True
302,720248208,47,M,3,4,divorced,2,blue,37,6,5731.0,1577,True
303,779749908,48,M,4,3,married,2,gold,33,2,34516.0,2061,True
304,717401883,35,M,3,0,married,2,blue,22,5,6985.0,1130,True
305,721509558,51,M,2,2,married,4,blue,42,3,24221.0,1707,True
307,714576183,47,M,4,2,single,3,blue,36,6,21637.0,2030,True
308,721425558,52,M,2,2,single,4,blue,37,2,14543.0,0,True
309,711109908,43,F,4,0,married,0,blue,36,2,9684.0,2475,True
310,715203108,63,M,2,1,married,1,blue,36,2,5007.0,930,True
311,710027508,61,M,0,2,married,2,blue,54,3,1616.0,1047,True
312,787464408,53,M,2,0,single,2,blue,40,5,19116.0,0,True
313,783542133,53,F,3,2,married,0,blue,47,5,2759.0,2223,True
314,708330858,57,M,3,2,married,4,blue,38,2,8249.0,1381,False
316,712701333,53,M,3,1,married,2,blue,43,5,5264.0,2169,True
318,773373108,49,F,4,1,married,0,blue,43,4,2826.0,2070,True
319,715812258,45,M,2,1,married,3,blue,34,5,12518.0,1539,True
320,778286433,67,M,0,2,married,1,blue,56,4,5876.0,1297,True
321,789270033,48,M,3,2,single,3,silver,37,3,34516.0,0,True
322,711569433,51,F,2,0,divorced,0,blue,38,4,9648.0,1926,True
323,720214833,52,M,2,1,single,3,silver,40,3,34516.0,2177,True
325,788194458,34,M,3,1,married,2,blue,26,4,3265.0,2517,True
326,720779733,56,M,1,0,married,4,blue,36,3,6041.0,1355,True
327,717424458,44,F,2,4,married,0,blue,36,3,2293.0,1823,True
330,770590758,43,F,3,2,single,1,blue,29,5,3378.0,1069,True
331,718490658,50,F,1,2,single,0,blue,36,4,5012.0,2242,True
332,711985833,38,F,4,0,single,0,blue,30,4,2569.0,1605,True
333,708967608,53,F,1,2,single,0,blue,45,3,3471.0,1785,True
334,718505958,43,M,5,2,divorced,4,silver,31,5,34516.0,1699,True
335,715024233,53,M,1,1,married,4,blue,36,6,3312.0,1844,True
336,779249583,56,F,1,2,married,0,blue,38,4,2578.0,2462,True
338,778928283,57,F,3,1,married,0,blue,39,3,2742.0,2321,True
339,712299858,62,M,1,1,married,0,blue,53,5,2077.0,1571,True
340,799224108,46,F,4,2,single,0,blue,40,5,6265.0,1942,True
341,809976033,49,M,2,0,married,2,blue,44,6,7819.0,1560,True
342,716203308,52,M,3,2,single,3,blue,42,6,2731.0,1692,True
343,714871683,58,M,1,0,married,1,blue,36,2,1438.3,537,False
344,716139933,54,M,0,1,married,3,blue,36,3,16286.0,1710,True
345,716984658,49,M,1,2,married,4,blue,39,3,34516.0,0,True
346,713086008,58,F,3,1,married,0,blue,47,6,2609.0,2439,True
347,713773458,52,M,2,1,single,2,blue,45,5,7567.0,1173,True
348,719242533,41,M,5,1,married,2,blue,33,5,22770.0,2517,True
349,772712658,62,F,0,0,married,0,blue,50,5,3791.0,1648,True
350,788868858,54,M,2,2,married,0,blue,39,4,2702.0,2517,True
351,811898133,40,F,3,1,divorced,0,blue,35,3,2555.0,2117,True
352,788808633,43,M,3,2,married,3,blue,26,5,2355.0,1090,True
353,779804208,53,F,2,2,single,1,blue,42,6,5332.0,0,True
354,781391058,55,M,1,0,single,1,blue,49,6,1443.0,1375,True
355,790134408,46,M,4,2,single,2,blue,39,6,10741.0,755,True
356,788853258,41,M,1,0,married,2,blue,25,3,7984.0,1503,True
357,711857733,49,M,3,0,single,2,blue,32,3,18584.0,2517,True
359,719554758,46,M,2,0,married,3,blue,38,6,34516.0,2165,True
360,711643458,50,F,1,0,married,0,blue,43,6,1438.3,0,True
361,788830683,40,M,2,2,single,3,blue,24,5,2478.0,2031,True
362,807030858,51,M,4,1,single,4,blue,46,6,34516.0,2274,True
363,793059108,50,F,2,2,married,1,blue,44,6,2339.0,1440,True
364,716568708,47,F,2,2,married,0,blue,36,6,2726.0,0,True
366,717229158,36,F,4,2,married,1,blue,36,6,1628.0,969,True
367,715915458,47,F,2,2,married,0,blue,34,5,3156.0,1644,True
368,819129858,46,F,2,2,single,0,blue,41,5,4745.0,1270,True
369,713441958,46,M,2,1,married,4,blue,36,5,19727.0,1785,True
370,719091333,52,M,0,0,married,2,blue,36,3,22720.0,793,True
372,714914583,40,F,4,2,single,0,blue,27,6,3751.0,1521,True
373,714363858,54,F,4,1,married,0,blue,36,3,1594.0,1411,True
374,721347408,55,F,1,1,single,0,blue,43,4,2569.0,1403,True
376,772047183,45,M,4,1,married,1,blue,34,6,3104.0,1766,True
377,714217908,49,M,3,2,married,1,blue,41,5,2406.0,1560,True
378,714819183,63,M,1,0,married,3,blue,36,5,24571.0,1955,True
379,716455683,40,F,3,1,single,0,gold,36,3,15534.0,726,True
380,710865633,41,F,2,2,married,0,silver,33,4,12301.0,2250,True
381,752952108,37,M,4,2,married,3,blue,26,6,2846.0,1818,True
383,714982383,55,M,2,1,married,2,blue,36,4,7231.0,2381,True
384,813814008,53,F,1,1,married,0,blue,48,6,2324.0,1576,True
385,794545983,57,M,2,2,married,3,blue,40,3,12208.0,1980,True
387,715585158,58,M,1,2,married,2,blue,46,3,10021.0,1617,True
389,789863208,54,F,2,2,married,0,blue,44,3,2027.0,1480,True
390,715022133,53,M,2,2,married,2,blue,47,6,6363.0,1162,True
391,712506708,39,F,3,3,single,0,blue,25,6,3920.0,2008,True
392,715699983,56,M,3,1,married,2,blue,36,5,9226.0,1233,True
394,712459233,59,F,1,4,married,1,blue,46,5,1944.0,1346,True
395,716545383,42,M,3,0,single,1,blue,36,3,9599.0,1554,True
396,721144383,42,M,4,2,married,2,silver,28,5,28202.0,843,True
398,804359133,55,M,0,1,married,4,blue,49,5,3805.0,2233,True
399,713308683,52,M,1,0,single,3,blue,37,5,2733.0,1306,True
401,717354558,57,M,2,0,married,4,blue,40,3,3106.0,1120,False
402,798473808,48,M,3,3,married,3,blue,42,3,7477.0,0,True
404,715192308,48,M,2,1,married,4,blue,36,6,29963.0,2094,True
405,708813033,47,M,1,2,single,1,blue,36,5,6509.0,2033,True
406,714639783,42,M,3,3,married,2,blue,34,3,13450.0,0,False
408,709470858,51,M,4,3,married,4,silver,31,5,34516.0,1254,True
409,717292758,55,F,2,2,single,0,blue,47,5,6347.0,0,True
410,779241783,67,M,1,0,married,1,blue,49,4,3106.0,1675,True
411,715205358,39,M,1,2,married,2,blue,31,4,2536.0,913,True
412,778871508,54,M,3,4,single,2,blue,35,6,13048.0,1954,True
414,710147958,47,M,3,1,married,1,silver,36,3,16138.0,1249,True
415,709864833,49,M,2,4,married,2,blue,38,3,8077.0,1965,True
416,778868958,42,F,2,2,married,0,blue,23,3,1929.0,1673,False
418,710004933,44,M,5,0,married,2,blue,36,3,8645.0,1454,True
420,710940183,49,F,3,2,married,0,blue,38,6,2185.0,0,False
421,718927533,45,M,3,2,single,3,blue,32,5,24487.0,2517,True
422,719337408,63,M,0,1,married,2,blue,36,6,2567.0,0,True
423,772308408,44,M,3,2,single,3,blue,33,6,4131.0,785,True
424,712981383,44,F,4,3,married,0,silver,37,3,10790.0,1930,True
425,790099758,40,M,3,1,married,1,blue,33,4,6884.0,1001,True
426,709547658,39,M,2,0,single,2,blue,36,5,13961.0,1299,False
427,778770783,42,M,4,1,married,3,blue,30,6,29801.0,1916,True
428,713134458,54,M,3,1,married,4,blue,43,4,13219.0,0,True
430,713639958,46,F,4,2,divorced,0,blue,36,5,9478.0,820,True
433,711089733,50,F,2,3,divorced,0,blue,36,3,1491.0,0,True
434,716988633,55,M,0,1,divorced,2,blue,46,6,9734.0,0,True
435,779031033,46,F,2,2,married,1,blue,22,6,2305.0,1627,True
436,716302383,47,F,4,0,married,1,blue,36,3,14241.0,2081,True
438,721333233,40,M,4,5,divorced,2,blue,34,4,23138.0,1727,True
441,814995933,58,F,3,2,married,0,blue,53,5,5798.0,1794,True
442,721469433,48,M,3,2,single,1,blue,36,5,6880.0,1390,True
444,717198633,53,F,2,3,married,1,blue,34,6,2075.0,1469,True
445,767695083,50,M,2,2,married,3,blue,44,3,4589.0,0,True
446,711791583,52,F,1,2,single,0,blue,40,1,2317.0,0,False
447,712315683,53,F,2,0,single,0,blue,45,1,1981.0,1518,False
448,710038008,56,F,1,2,single,1,blue,47,3,6038.0,0,True
450,718349058,49,M,3,1,married,3,blue,39,3,29659.0,1143,True
451,789842283,54,M,2,2,married,2,blue,42,3,4320.0,0,False
454,714900408,41,F,4,1,single,0,blue,31,3,5773.0,0,True
455,719418933,53,M,2,0,married,3,blue,36,1,4503.0,0,False
456,720115683,47,M,3,0,married,3,blue,36,6,29770.0,1565,True
457,779504058,46,F,2,4,married,0,blue,28,5,5014.0,1910,True
458,795979833,53,F,1,1,married,0,blue,47,6,3445.0,1074,True
459,717392358,60,M,1,2,married,3,blue,50,6,23412.0,1078,True
460,718640508,59,F,0,2,single,0,blue,46,4,3044.0,1611,True
462,709230708,56,M,4,0,single,0,blue,36,3,3864.0,1654,True
464,801383808,50,M,3,2,single,2,blue,44,4,23090.0,839,True
466,708217758,63,M,2,2,married,2,blue,49,5,14035.0,2061,True
467,714272658,43,F,2,0,single,0,blue,24,2,2962.0,2517,False
469,711864783,61,M,1,0,single,2,blue,46,5,2201.0,1138,True
470,719407983,37,F,0,4,married,0,blue,25,4,2061.0,1483,True
472,716804283,41,M,2,0,divorced,4,blue,29,3,15911.0,896,True
473,767294658,56,M,2,3,single,4,blue,50,2,16867.0,0,False
474,709122483,56,M,3,2,married,2,blue,37,3,2783.0,1526,True
475,708241233,52,F,3,4,single,0,blue,47,3,2972.0,0,False
476,717860358,40,F,3,1,single,1,blue,36,5,5124.0,2235,True
477,789337233,63,M,1,2,married,1,blue,53,6,2880.0,2362,True
478,720902133,58,M,1,1,single,1,blue,46,4,5579.0,0,True
480,711870333,46,M,2,0,divorced,3,blue,36,6,34516.0,1597,True
481,708398283,37,F,1,2,married,1,blue,29,5,4394.0,885,True
482,715878183,46,M,4,2,single,3,blue,35,4,18325.0,723,True
483,719451483,46,F,4,4,married,0,blue,37,5,3773.0,1972,True
484,709110633,41,M,1,2,single,3,blue,29,5,21684.0,1748,True
485,721059033,48,F,3,1,divorced,1,blue,40,4,1919.0,774,True
486,779912283,49,F,3,2,single,1,blue,33,5,9995.0,1713,True
487,717701733,44,M,2,2,married,3,blue,35,3,11910.0,2098,True
488,709913733,39,F,3,3,married,0,blue,36,4,2279.0,1529,True
489,718768158,57,M,1,3,single,1,blue,48,3,3539.0,0,True
490,721375308,48,M,3,1,married,3,blue,36,5,30579.0,1351,True
491,711374283,47,M,3,1,single,3,blue,42,4,24480.0,1923,True
493,778465533,54,F,0,3,married,0,blue,40,3,1638.0,0,True
494,712138983,54,M,1,2,married,2,blue,36,3,2947.0,2216,True
495,716920908,52,M,4,1,married,3,blue,42,6,5738.0,1112,True
497,711195558,59,M,1,3,single,1,blue,48,6,7251.0,1603,True
499,712024908,56,F,1,3,married,0,blue,36,6,2641.0,1257,True
501,714893733,55,M,1,1,married,3,blue,45,3,16794.0,809,True
502,754886958,48,F,3,3,divorced,1,blue,41,4,9336.0,1672,True
503,710104908,56,F,5,3,single,0,blue,43,4,2763.0,2517,True
504,710558883,41,M,3,0,married,2,blue,36,5,17391.0,1044,True
505,713827383,65,F,1,1,married,0,blue,36,3,3198.0,2493,True
506,720267033,34,M,4,4,single,3,blue,26,3,5100.0,1786,True
507,712049208,56,M,3,4,married,2,blue,39,3,3955.0,2517,True
508,708688608,62,F,1,1,married,0,blue,48,5,3140.0,1985,True
510,713217858,38,F,2,0,single,0,blue,32,5,2264.0,0,True
512,711019308,58,M,2,1,single,2,blue,45,3,6385.0,1535,True
513,768600558,41,F,4,2,single,1,blue,31,4,2375.0,1658,True
514,710202783,33,M,2,2,married,2,blue,13,3,1963.0,1721,True
515,712899333,47,F,4,3,single,0,blue,37,6,4256.0,1084,True
516,767036433,56,F,1,2,married,0,blue,49,5,5097.0,1152,True
517,793473033,51,M,1,2,single,2,blue,45,3,3228.0,2517,True
521,717998058,26,M,0,2,single,0,blue,13,6,2585.0,2019,True
